"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.428546707E2,6.498119148E1,2.552443657E1,9.566686031E0,3.000000000E0,1.698999939E2,3.790092468E0,2.500000000E0
1.438525643E2,6.498116488E1,2.552444856E1,9.935861478E0,2.970000029E0,1.688000031E2,3.790092468E0,2.500000000E0
1.448528652E2,6.498113923E1,2.552446329E1,1.058451742E1,2.930000067E0,1.668999939E2,3.790092468E0,2.500000000E0
1.458505103E2,6.498111205E1,2.552447672E1,1.150898999E1,3.029999971E0,1.675000000E2,3.790092468E0,2.500000000E0
1.468546713E2,6.498108486E1,2.552448769E1,1.119206884E1,2.910000086E0,1.681000061E2,3.790092468E0,2.500000000E0
1.478538400E2,6.498105757E1,2.552449947E1,1.147280373E1,2.910000086E0,1.678999939E2,3.790092468E0,2.500000000E0
1.488537157E2,6.498103168E1,2.552451162E1,1.171807844E1,2.839999914E0,1.686000061E2,3.790092468E0,2.500000000E0
1.498534472E2,6.498100546E1,2.552452762E1,1.155691924E1,2.920000076E0,1.665000000E2,3.790092468E0,2.500000000E0
1.508529798E2,6.498097979E1,2.552454310E1,1.127729137E1,2.950000048E0,1.661000061E2,3.790092468E0,2.500000000E0
1.518518381E2,6.498095443E1,2.552455720E1,1.089213419E1,2.819999933E0,1.671999969E2,3.790092468E0,2.500000000E0
1.528521774E2,6.498092868E1,2.552457302E1,1.122951060E1,2.869999886E0,1.661999969E2,3.790092468E0,2.500000000E0
1.538546707E2,6.498090409E1,2.552458414E1,1.153679837E1,2.769999981E0,1.691999969E2,3.790092468E0,2.500000000E0
1.548515273E2,6.498087890E1,2.552459462E1,1.129122923E1,2.960000038E0,1.663000031E2,3.790092468E0,2.500000000E0
1.558546702E2,6.498085371E1,2.552460814E1,1.146442189E1,2.900000095E0,1.661000061E2,3.790092468E0,2.500000000E0
1.568503128E2,6.498082724E1,2.552461845E1,1.143406154E1,3.000000000E0,1.703999939E2,3.790092468E0,2.500000000E0
1.578510680E2,6.498080188E1,2.552462925E1,1.161665382E1,2.900000095E0,1.695000000E2,3.790092468E0,2.500000000E0
1.588491781E2,6.498077696E1,2.552464333E1,1.249065232E1,2.869999886E0,1.671000061E2,3.790092468E0,2.500000000E0
1.598464145E2,6.498075252E1,2.552465729E1,1.345309122E1,2.789999962E0,1.686999969E2,3.790092468E0,2.500000000E0
1.608492810E2,6.498072948E1,2.552466936E1,1.349524359E1,2.740000010E0,1.676000061E2,3.790092468E0,2.500000000E0
1.618535460E2,6.498070470E1,2.552468367E1,1.335380029E1,2.849999905E0,1.668999939E2,3.790092468E0,2.500000000E0
1.628546694E2,6.498068213E1,2.552469524E1,1.462196634E1,2.559999943E0,1.676999969E2,3.790092468E0,2.500000000E0
1.638546699E2,6.498065928E1,2.552470749E1,1.462603291E1,2.740000010E0,1.680000000E2,3.790092468E0,2.500000000E0
1.648546711E2,6.498063850E1,2.552471832E1,1.600314847E1,2.420000076E0,1.683000031E2,3.790092468E0,2.500000000E0
1.658542519E2,6.498062196E1,2.552472780E1,1.688191608E1,1.960000038E0,1.693000031E2,3.790092468E0,2.500000000E0
1.668546710E2,6.498060777E1,2.552473662E1,1.761060050E1,1.820000052E0,1.681000061E2,3.790092468E0,2.500000000E0
1.678546708E2,6.498059279E1,2.552474698E1,1.805022149E1,1.889999986E0,1.655000000E2,3.790092468E0,2.500000000E0
1.688546706E2,6.498057836E1,2.552476360E1,1.847238610E1,1.879999995E0,1.571999969E2,3.790092468E0,2.500000000E0
1.698477211E2,6.498056565E1,2.552477794E1,1.753761902E1,1.759999990E0,1.593000031E2,3.790092468E0,2.500000000E0
1.708526102E2,6.498055270E1,2.552479237E1,1.727954848E1,1.779999971E0,1.600000000E2,3.790092468E0,2.500000000E0
1.718596806E2,6.498053979E1,2.552480888E1,1.639525699E1,1.720000029E0,1.565000000E2,3.790092468E0,2.500000000E0
1.728479234E2,6.498052852E1,2.552482316E1,1.750358207E1,1.629999995E0,1.555000000E2,3.790092468E0,2.500000000E0
1.738546714E2,6.498052074E1,2.552483954E1,1.653128266E1,1.490000010E0,1.460000000E2,3.790092468E0,2.500000000E0
1.748471083E2,6.498051514E1,2.552486290E1,1.643203122E1,1.399999976E0,1.361000061E2,3.790092468E0,2.500000000E0
1.758531505E2,6.498051257E1,2.552488791E1,1.637044106E1,1.250000000E0,1.233000031E2,3.790092468E0,2.500000000E0
1.768533384E2,6.498050987E1,2.552491462E1,1.620203903E1,1.250000000E0,1.190999985E2,3.790092468E0,2.500000000E0
1.778537673E2,6.498050421E1,2.552494178E1,1.608203507E1,1.269999981E0,1.200000000E2,3.790092468E0,2.500000000E0
1.788546712E2,6.498049864E1,2.552496935E1,1.463061025E1,1.220000029E0,1.215000000E2,3.790092468E0,2.500000000E0
1.798546708E2,6.498048988E1,2.552499928E1,1.446555912E1,1.710000038E0,1.259000015E2,3.790092468E0,2.500000000E0
1.808546703E2,6.498048073E1,2.552502862E1,1.449301258E1,1.570000052E0,1.270000000E2,3.790092468E0,2.500000000E0
1.818546710E2,6.498047319E1,2.552505655E1,1.430000874E1,1.370000005E0,1.250999985E2,3.790092468E0,2.500000000E0
1.828546714E2,6.498046858E1,2.552508718E1,1.367884563E1,1.429999948E0,1.130999985E2,3.790092468E0,2.500000000E0
1.838529305E2,6.498046483E1,2.552511809E1,1.321979266E1,1.500000000E0,1.138000031E2,3.790092468E0,2.500000000E0
1.848546700E2,6.498046036E1,2.552514993E1,1.199175696E1,1.419999957E0,1.125999985E2,3.790092468E0,2.500000000E0
1.858524191E2,6.498045511E1,2.552518529E1,1.138267759E1,1.539999962E0,1.160000000E2,3.790092468E0,2.500000000E0
1.868546708E2,6.498044900E1,2.552521952E1,1.119144426E1,1.509999990E0,1.198000031E2,3.790092468E0,2.634453058E0
1.878525118E2,6.498044356E1,2.552525161E1,1.082021916E1,1.419999957E0,1.124000015E2,3.790092468E0,2.521855831E0
1.888534162E2,6.498044056E1,2.552528303E1,1.119240460E1,1.389999986E0,1.035999985E2,3.790092468E0,2.692081213E0
1.898520036E2,6.498043596E1,2.552531745E1,1.103504715E1,1.570000052E0,1.075999985E2,3.790092468E0,2.718269825E0
1.908547760E2,6.498043013E1,2.552534967E1,1.122644374E1,1.509999990E0,1.110000000E2,3.790092468E0,2.888898134E0
1.918503899E2,6.498042294E1,2.552537772E1,1.128270778E1,1.460000038E0,1.150999985E2,3.790092468E0,3.020876408E0
1.928546710E2,6.498041466E1,2.552540482E1,1.134299926E1,1.480000019E0,1.195000000E2,3.790092468E0,2.836592436E0
1.938546707E2,6.498040797E1,2.552543387E1,1.074655367E1,1.460000038E0,1.155000000E2,3.790092468E0,2.684732676E0
1.948526500E2,6.498040316E1,2.552546433E1,1.061672341E1,1.419999957E0,1.123000031E2,3.790092468E0,2.618237257E0
1.958483236E2,6.498039690E1,2.552549748E1,1.016822689E1,1.509999990E0,1.130999985E2,3.790092468E0,2.503260374E0
1.968546707E2,6.498038819E1,2.552552630E1,1.042199919E1,1.500000000E0,1.215999985E2,3.790092468E0,2.508393764E0
1.978530545E2,6.498037966E1,2.552555246E1,1.084044486E1,1.429999948E0,1.275000000E2,3.790092468E0,2.748374224E0
1.988548526E2,6.498037059E1,2.552557907E1,1.124167805E1,1.440000057E0,1.273000031E2,3.790092468E0,3.168829679E0
1.998548300E2,6.498036325E1,2.552560981E1,1.084390107E1,1.440000057E0,1.131999969E2,3.790092468E0,3.248748302E0
2.008514632E2,6.498035827E1,2.552563954E1,9.837544868E0,1.399999976E0,1.109000015E2,3.790092468E0,3.015300751E0
2.018546712E2,6.498034996E1,2.552567409E1,1.059296473E1,1.620000005E0,1.201999969E2,3.790092468E0,2.778525829E0
2.028546716E2,6.498034204E1,2.552570484E1,1.087847578E1,1.460000038E0,1.190000000E2,3.790092468E0,2.573831320E0
2.038546714E2,6.498033336E1,2.552573398E1,1.147776808E1,1.519999981E0,1.205000000E2,3.790092468E0,2.516807795E0
2.048546710E2,6.498032448E1,2.552576202E1,1.158285868E1,1.539999962E0,1.236999969E2,3.790092468E0,2.500000000E0
2.058546710E2,6.498031646E1,2.552578921E1,1.206880957E1,1.460000038E0,1.233000031E2,3.790092468E0,2.500000000E0
2.068546916E2,6.498030723E1,2.552582161E1,1.140314732E1,1.700000048E0,1.219000015E2,3.790092468E0,2.500000000E0
2.078484861E2,6.498029960E1,2.552585107E1,1.133660803E1,1.529999971E0,1.235999985E2,3.790092468E0,2.558000565E0
2.088550861E2,6.498029102E1,2.552587889E1,1.090214815E1,1.679999948E0,1.240000000E2,3.790092468E0,2.602735281E0
2.098517366E2,6.498028366E1,2.552590844E1,1.070371213E1,1.620000005E0,1.203000031E2,3.790092468E0,2.514628172E0
2.108546706E2,6.498027528E1,2.552593438E1,9.965175542E0,1.629999995E0,1.298000031E2,3.790092468E0,2.526872635E0
2.118528214E2,6.498026396E1,2.552596288E1,9.778881985E0,1.720000029E0,1.313000031E2,3.790092468E0,2.500000000E0
2.128546714E2,6.498025403E1,2.552599209E1,9.694274192E0,1.590000033E0,1.298999939E2,3.790092468E0,2.662014961E0
