"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.323075522E0,2.121653557E-1,5.072338581E-1,-8.299894333E-1
1.327925887E0,8.360028267E-3,3.788938522E-1,-3.914289474E-1
1.332775574E0,-5.787432194E-2,4.019649029E-1,-1.940116882E-1
1.337626095E0,-5.156421661E-2,4.301443100E-1,-2.688827515E-1
1.342477293E0,-7.644808292E-2,4.516468048E-1,-1.150102615E-1
1.347327762E0,1.186991930E-1,4.210643768E-1,-2.566471100E-1
1.352177397E0,1.893222332E-1,3.435871601E-1,-3.733358383E-1
1.357027866E0,1.867752075E-1,2.764301300E-1,-3.369684219E-1
1.361879116E0,2.071040869E-1,4.450409412E-1,-2.057180405E-1
1.366729585E0,2.775901556E-1,3.982546329E-1,-3.959140778E-1
1.371579168E0,3.262553215E-1,3.275737762E-1,-4.039382935E-1
1.376429689E0,3.174031973E-1,3.230371475E-1,-3.808441162E-1
1.381280887E0,4.592657089E-1,2.702460289E-1,-4.980487823E-1
1.386131355E0,5.443072319E-1,4.496166706E-1,-6.213607788E-1
1.390980991E0,1.145806313E-1,4.488124847E-1,-2.589950562E-1
1.395831460E0,-9.814631939E-2,3.954668045E-1,-1.081275940E-2
1.400682710E0,-1.180565357E-2,2.994248867E-1,-2.156085968E-1
1.405533178E0,1.865009069E-1,1.870155334E-1,-4.306545258E-1
1.410382762E0,2.374925613E-1,6.117084026E-1,-4.374094009E-1
1.415233282E0,2.220962048E-1,5.480434895E-1,-3.014688492E-1
1.420084532E0,2.859864235E-1,3.161599636E-1,-4.276409149E-1
1.424934897E0,8.091235161E-2,3.165643215E-1,-1.891574860E-1
1.429784585E0,2.608957291E-1,6.376435757E-1,-3.537378311E-1
1.434635105E0,3.426862955E-1,6.477160454E-1,-5.097770691E-1
1.439486303E0,5.447947979E-2,3.897693157E-1,-4.174947739E-1
1.444336772E0,-6.679272652E-2,3.319730759E-1,-4.210176468E-1
1.449186407E0,-8.645737171E-2,4.035303593E-1,-4.838409424E-1
1.454036876E0,-1.102783680E-1,5.062377453E-1,-4.536466599E-1
1.458888126E0,-1.033462286E-1,4.737544060E-1,-4.856767654E-1
1.463738595E0,-1.298236847E-1,7.556741238E-1,-3.941421509E-1
1.468588178E0,-6.384980679E-2,6.440184116E-1,-3.367624283E-1
1.473438699E0,2.233505249E-2,6.122194529E-1,-4.771270752E-1
1.478289949E0,-7.348310947E-2,7.117487192E-1,-1.389284134E-1
1.483140314E0,-2.885473967E-1,9.581159353E-1,-1.120777130E-1
1.487990001E0,-3.472092152E-1,8.340171576E-1,-3.563690186E-1
1.492840470E0,-5.351245403E-1,8.360708952E-1,-1.191596985E-1
1.497691720E0,-5.138443708E-1,9.041482210E-1,-4.787445068E-2
1.502542189E0,-2.405805588E-1,9.665000439E-1,-3.596715927E-1
1.507391772E0,-4.341230392E-1,9.641518593E-1,5.779266357E-2
1.512242293E0,-5.241826773E-1,8.549159765E-1,3.250083923E-1
1.517093543E0,-4.572994709E-1,7.460609674E-1,2.960824966E-1
1.521944012E0,-2.163329124E-1,7.799248695E-1,1.847057343E-1
1.526793595E0,-1.632164717E-1,8.295416832E-1,2.432909012E-1
1.531644116E0,-2.033044100E-1,7.259356976E-1,2.996425629E-1
1.536495314E0,-1.209419966E-1,6.364642382E-1,1.351594925E-1
1.541345782E0,-3.650808334E-2,6.302655935E-1,-3.010082245E-2
1.546195418E0,-2.034771442E-2,7.045015097E-1,2.242088318E-2
1.551045887E0,1.077032089E-1,6.757389307E-1,-1.199903488E-1
1.555897137E0,1.938421726E-1,5.261960030E-1,-3.728742599E-1
1.560747605E0,3.266217709E-1,6.725523472E-1,-4.147701263E-1
1.565597189E0,3.824403286E-1,7.609918118E-1,-3.708486557E-1
1.570447710E0,4.899438620E-1,7.708139420E-1,-4.650774002E-1
1.575298960E0,6.955648661E-1,1.027926564E0,-6.726932526E-1
